OBJECTID,YEAR_PM25_train_pnt,X,Y,ymean_2019_AOD47,ymean_2019_nNDVI,ymean_2019_TMP,ymean_2019_SPFH,ymean_2019_WIND,ymean_2019_HGT,ymean_2019_PM25
1,1,-122.460023872330908,48.921688926096692,0.1781190,0.6250131,9.9759674,0.0063152,2.0661743,132.7734375,8.7419825
2,2,-121.836817643972893,48.921688926096692,0.1398517,0.4006652,6.4222322,0.0054591,2.6485846,926.8437500,6.6592073
3,3,-121.213611415614992,48.921688926096692,0.1661058,0.3731913,4.0882845,0.0049227,3.3222592,1361.1367188,5.4455309
4,4,-120.590405187257090,48.921688926096692,0.2059639,0.3731913,1.7855458,0.0042921,2.8292060,1702.3593750,5.0591412
5,5,-119.967198958899189,48.921688926096692,0.1707765,0.3618087,3.6580486,0.0040261,3.1858573,1515.5781250,6.0465951
6,6,-119.343992730541288,48.921688926096692,0.1749045,0.4582304,7.5198832,0.0043913,2.4888060,885.6367188,9.2506666
7,7,-118.720786502183387,48.921688926096692,0.1866259,0.5066044,5.9721193,0.0043137,1.8154571,1064.5781250,8.4677143
8,8,-118.097580273825429,48.921688926096692,0.1838274,0.5066044,6.3866787,0.0045036,1.9026477,1015.1367188,8.8735781
9,9,-117.474374045467528,48.921688926096692,0.1940821,0.5444739,4.9304881,0.0046333,2.1070817,1242.2656250,7.8211985
10,10,-116.851167817109626,48.921688926096692,0.1932468,0.5061131,3.6886115,0.0045896,2.3161478,1419.1914062,6.6917100
11,11,-116.227961588751725,48.921688926096692,0.2053977,0.5225956,5.4607372,0.0048067,2.2502854,1099.4218750,8.0524235
12,12,-115.604755360393824,48.921688926096692,0.2084577,0.4861652,3.5070765,0.0045002,2.2172415,1388.1406250,8.8736658
13,13,-114.981549132035866,48.921688926096692,0.2056779,0.4861652,1.5623635,0.0042867,3.8341689,1721.1015625,7.9178057
14,14,-114.358342903677965,48.921688926096692,0.2308281,0.3390652,0.9561939,0.0041839,3.9373875,1762.7734375,5.8301954
15,15,-113.735136675320064,48.921688926096692,0.2314923,0.2679522,1.0981392,0.0042064,5.0537605,1834.6054688,5.3984065
16,16,-113.111930446962049,48.921688926096692,0.2161844,0.2080565,2.9372687,0.0041109,4.6025715,1466.5468750,5.5634794
