OBJECTID,YEAR_PM25_train_pnt,X,Y,ymean_2018_AOD47,ymean_2018_nNDVI,ymean_2018_TMP,ymean_2018_SPFH,ymean_2018_WIND,ymean_2018_HGT,ymean_2018_PM25
1,1,-122.460023872330908,48.921688926096692,0.2772882,0.6232000,10.6590281,0.0066306,2.6643345,33.5236206,14.4700317
2,2,-121.836817643972893,48.921688926096692,0.2620606,0.3924913,6.4082141,0.0053159,3.0065093,1081.7216797,14.0420084
3,3,-121.213611415614992,48.921688926096692,0.3163142,0.3619522,5.3375063,0.0048601,3.0849831,1321.6589355,15.1028376
4,4,-120.590405187257090,48.921688926096692,0.3559805,0.3619522,2.8762193,0.0042325,3.4109251,1728.7415771,22.8735085
5,5,-119.967198958899189,48.921688926096692,0.3589692,0.3582652,2.2475615,0.0039606,3.4428866,1851.5213623,35.5640602
6,6,-119.343992730541288,48.921688926096692,0.3258530,0.4517087,6.5457578,0.0043622,1.8931203,1107.1896973,37.0468597
7,7,-118.720786502183387,48.921688926096692,0.3364470,0.5009000,6.8567266,0.0044131,2.0307832,1042.4300537,19.6691055
8,8,-118.097580273825429,48.921688926096692,0.3358916,0.5009000,8.1281223,0.0046786,1.6717482,867.4972534,28.6806469
9,9,-117.474374045467528,48.921688926096692,0.3277333,0.5330130,7.0317311,0.0046862,1.7659471,1038.6409912,24.0200424
10,10,-116.851167817109626,48.921688926096692,0.3074487,0.4941565,4.7560096,0.0044838,2.1496451,1401.3496094,23.1157112
11,11,-116.227961588751725,48.921688926096692,0.3214557,0.4944913,4.9008255,0.0044398,2.5520263,1383.0227051,21.3787422
12,12,-115.604755360393824,48.921688926096692,0.3240733,0.4528522,4.5600853,0.0042996,2.4465725,1424.1633301,21.0962639
13,13,-114.981549132035866,48.921688926096692,0.3040784,0.4528522,5.3520503,0.0044187,2.4997540,1312.3808594,18.7846413
14,14,-114.358342903677965,48.921688926096692,0.3147738,0.3278826,2.9151638,0.0041548,3.6921971,1608.4005127,15.5435915
15,15,-113.735136675320064,48.921688926096692,0.3148663,0.2544130,3.3272111,0.0039526,5.0282602,1640.3218994,14.2904806
16,16,-113.111930446962049,48.921688926096692,0.2299082,0.1945609,4.0893416,0.0040066,4.6406178,1347.9404297,11.3874378
17,17,-112.488724218604148,48.921688926096692,0.2740266,0.1945609,4.1264887,0.0040827,4.9841623,1222.1182861,10.3972654
18,18,-111.865517990246246,48.921688926096692,0.2794759,0.1747391,4.7805247,0.0042258,4.8889751,1067.8201904,10.0250072
19,19,-111.242311761888288,48.921688926096692,0.2435153,0.2014391,4.8033257,0.0042792,3.2097840,1115.4945068,9.8386898
20,20,-110.619105533530387,48.921688926096692,0.2914618,0.2054130,4.5848866,0.0041980,3.3817081,891.8883667,10.5306864
21,21,-109.995899305172486,48.921688926096692,0.2984086,0.2054130,3.9123299,0.0042028,3.4674187,853.4623413,10.4540529
22,22,-109.372693076814585,48.921688926096692,0.2718012,0.2143304,3.2830873,0.0042255,3.3287616,834.6406250,10.5130091
