OBJECTID,YEAR_PM25_sample_pnt,X,Y,ymean_2020_AOD47,ymean_2020_nNDVI,ymean_2020_TMP,ymean_2020_SPFH,ymean_2020_WIND,ymean_2020_HGT,ymean_2020_PM25
1,1,-122.460023872330908,48.921688926096692,0.2501926,0.6095304,10.1086149,0.0065006,2.4361484,132.7734375,10.0983744
2,2,-121.836817643972893,48.921688926096692,0.2049826,0.3797696,6.4312553,0.0055972,3.1356490,926.8437500,7.8011622
3,3,-121.213611415614992,48.921688926096692,0.2249927,0.3603391,4.2613387,0.0049973,3.8282497,1361.1367188,6.0827608
4,4,-120.590405187257090,48.921688926096692,0.2200777,0.3603391,2.1446233,0.0043791,3.2674534,1702.3593750,5.7374420
5,5,-119.967198958899189,48.921688926096692,0.2029642,0.3733696,4.1926193,0.0040233,3.5606103,1515.5781250,9.0687904
6,6,-119.343992730541288,48.921688926096692,0.2030650,0.4759870,8.1716509,0.0044385,2.5281050,885.6367188,14.7767448
7,7,-118.720786502183387,48.921688926096692,0.2302634,0.5177478,6.6877303,0.0043601,1.9342086,1064.5781250,11.2827511
8,8,-118.097580273825429,48.921688926096692,0.2089226,0.5177478,6.9845209,0.0045888,2.0900578,1015.1367188,10.3658218
9,9,-117.474374045467528,48.921688926096692,0.1893681,0.5516652,5.4682226,0.0047759,2.2239108,1242.2656250,9.3277912
10,10,-116.851167817109626,48.921688926096692,0.1736487,0.5250261,4.2412333,0.0047148,2.5813813,1419.1914062,8.1463699
11,11,-116.227961588751725,48.921688926096692,0.2346280,0.5398130,6.1845918,0.0049174,2.5727735,1099.4218750,8.0509596
12,12,-115.604755360393824,48.921688926096692,0.2182136,0.4980304,4.4331093,0.0046037,2.6240876,1388.1406250,8.3363323
13,13,-114.981549132035866,48.921688926096692,0.2230493,0.4980304,2.4144030,0.0044103,4.2851763,1721.1015625,7.5626354
14,14,-114.358342903677965,48.921688926096692,0.2554234,0.3529043,1.9133795,0.0042650,4.3885369,1762.7734375,6.6984320
15,15,-113.735136675320064,48.921688926096692,0.2401421,0.2697783,2.2092907,0.0042807,5.9557934,1834.6054688,6.3963833
16,16,-113.111930446962049,48.921688926096692,0.2207570,0.2195391,4.6174889,0.0041682,5.7881503,1466.5468750,6.6823525
17,17,-112.488724218604148,48.921688926096692,0.2459503,0.2195391,4.9202223,0.0042588,5.5763817,1277.7968750,6.8621202
18,18,-111.865517990246246,48.921688926096692,0.2525074,0.2045261,5.9670167,0.0043229,5.2177935,1077.7382812,6.9374328
19,19,-111.242311761888288,48.921688926096692,0.2146164,0.2347565,6.1561866,0.0043849,5.2801771,1078.8515625,7.1516490
20,20,-110.619105533530387,48.921688926096692,0.2371313,0.2340087,5.8421822,0.0042478,5.1045480,954.3437500,8.4107447
21,21,-109.995899305172486,48.921688926096692,0.2637062,0.2340087,6.3117766,0.0042280,4.8118291,849.8125000,8.5811558
22,22,-109.372693076814585,48.921688926096692,0.2687822,0.2222304,5.1816874,0.0043412,4.4035511,849.0273438,8.8997459
23,23,-108.749486848456684,48.921688926096692,0.2678682,0.2192435,5.0911536,0.0044144,4.9608068,953.6445312,8.4581881
24,24,-108.126280620098782,48.921688926096692,0.2545193,0.2263044,5.1683359,0.0043615,4.7759094,872.8281250,8.2973080
25,25,-107.503074391740881,48.921688926096692,0.2661830,0.2131826,4.8487825,0.0042225,4.4081564,813.3671875,7.9434834
26,26,-106.879868163382980,48.921688926096692,0.2489017,0.2131826,4.1843891,0.0041427,4.2783618,862.3203125,7.0727677
27,27,-106.256661935025022,48.921688926096692,0.2649842,0.2450217,4.0213151,0.0041639,4.4747348,896.8945312,6.4058962
28,28,-105.633455706667121,48.921688926096692,0.2531890,0.2735043,4.3526759,0.0042645,4.1010637,797.7656250,6.1224146
29,29,-105.010249478309220,48.921688926096692,0.2538835,0.2747522,4.8288622,0.0043781,4.8113108,763.2968750,5.9796314
30,30,-104.387043249951148,48.921688926096692,0.2468148,0.2747522,5.0051899,0.0044810,4.7833052,698.6953125,5.8559284
31,31,-103.763837021593247,48.921688926096692,0.2455430,0.2851174,4.8957381,0.0046975,5.3760204,661.1171875,5.8139648
32,32,-103.140630793235459,48.921688926096692,0.2478490,0.3079174,4.8165197,0.0048157,5.2493129,644.6367188,5.8521652
33,33,-102.517424564877444,48.921688926096692,0.2625323,0.3218957,4.8203979,0.0048562,5.0550089,626.5234375,5.9515395
34,34,-101.894218336519543,48.921688926096692,0.2525615,0.3218957,4.6238160,0.0048734,4.7922015,566.3085938,6.0079999
35,35,-101.271012108161642,48.921688926096692,0.2448907,0.3414043,4.5433536,0.0049623,4.3803639,455.1367188,5.9985051
36,36,-100.647805879803741,48.921688926096692,0.2416204,0.3166696,4.3425689,0.0049478,4.4784918,531.5781250,5.9982567
37,37,-100.024599651445840,48.921688926096692,0.2303682,0.3108261,3.8065681,0.0048512,4.5196142,627.9179688,6.0873318
38,38,-99.401393423087939,48.921688926096692,0.2524897,0.2837957,3.9836266,0.0049784,5.0485387,534.8085938,6.2027369
39,39,-98.778187194730037,48.921688926096692,0.2619182,0.2837957,3.8307176,0.0051695,5.0636783,467.3867188,6.3187857
40,40,-98.154980966372079,48.921688926096692,0.2245223,0.3074913,4.5857759,0.0050892,4.6649318,373.1562500,6.5000105
41,41,-97.531774738014178,48.921688926096692,0.2097266,0.3067391,4.6154327,0.0050525,4.4236650,251.0039062,6.5297184
42,42,-96.908568509656277,48.921688926096692,0.2262656,0.3690565,4.2216682,0.0051895,4.4251938,251.9648438,6.3327208
43,43,-96.285362281298376,48.921688926096692,0.1928641,0.3690565,3.8953028,0.0052509,4.1227412,303.4609375,6.3861060
44,44,-95.662156052940418,48.921688926096692,0.2140822,0.4357087,4.1557302,0.0050678,3.1100817,328.2500000,6.3390899
45,45,-95.038949824582517,48.921688926096692,0.2074156,0.4230565,3.1377115,0.0050339,4.3956103,319.7773438,5.8912063
46,46,-122.460023872330908,48.298482697738677,0.2585653,0.6530913,10.4968634,0.0065747,2.4918005,106.8046875,11.7040215
47,47,-121.836817643972893,48.298482697738677,0.2177025,0.5681478,8.1585817,0.0060723,2.7574887,648.0937500,8.8477936
48,48,-121.213611415614992,48.298482697738677,0.2445886,0.3777870,5.1255517,0.0052256,3.4594820,1255.3085938,6.8134284
49,49,-120.590405187257090,48.298482697738677,0.2350584,0.3023304,3.7354622,0.0044049,4.3076534,1563.9296875,5.7345786
50,50,-119.967198958899189,48.298482697738677,0.2258783,0.3023304,7.1593928,0.0042651,3.3616388,1113.6093750,10.8360128
51,51,-119.343992730541288,48.298482697738677,0.2042880,0.3604696,9.1891165,0.0043213,2.4371293,764.8984375,13.5659657
52,52,-118.720786502183387,48.298482697738677,0.2320263,0.4986044,7.5099292,0.0045597,2.1328821,1022.1953125,13.4794159
53,53,-118.097580273825429,48.298482697738677,0.2304427,0.5578652,8.3695517,0.0048986,2.2118664,851.6875000,13.2961903
54,54,-117.474374045467528,48.298482697738677,0.2067924,0.5578652,7.1047873,0.0049474,1.6487302,939.7500000,10.4759264
55,55,-116.851167817109626,48.298482697738677,0.2396735,0.5743521,7.7545018,0.0054235,1.8894080,805.7382812,10.2038536
56,56,-116.227961588751725,48.298482697738677,0.1937585,0.4949522,6.2895761,0.0051004,3.0845397,1187.1718750,9.7369137
57,57,-115.604755360393824,48.298482697738677,0.2080085,0.5233565,6.2039862,0.0047781,2.8862913,1219.1289062,10.2417326
58,58,-114.981549132035866,48.298482697738677,0.2163273,0.4741652,6.3900008,0.0046250,2.2170393,1219.8281250,8.9631510
59,59,-114.358342903677965,48.298482697738677,0.2596440,0.4741652,5.3558087,0.0048008,2.3461385,1247.9335938,8.1857901
60,60,-113.735136675320064,48.298482697738677,0.2313905,0.3867609,3.8600178,0.0045785,3.5260422,1611.3046875,7.4981365
61,61,-113.111930446962049,48.298482697738677,0.2445532,0.2919696,2.8235509,0.0042973,5.5987196,1801.8789062,8.7805243
62,62,-112.488724218604148,48.298482697738677,0.2327573,0.2504000,6.2566791,0.0040702,5.3792658,1318.3671875,8.6876116
63,63,-111.865517990246246,48.298482697738677,0.2381545,0.2504000,6.6446371,0.0043525,4.6977644,1120.5234375,8.2745228
64,64,-111.242311761888288,48.298482697738677,0.2103959,0.2459478,6.5081501,0.0043975,4.2113767,942.7500000,8.2698917
65,65,-110.619105533530387,48.298482697738677,0.2255751,0.2426000,6.7168002,0.0043074,4.3466973,924.1992188,8.4170876
66,66,-109.995899305172486,48.298482697738677,0.2125052,0.2963870,7.2752509,0.0043672,4.4973521,850.8593750,8.1286764
67,67,-109.372693076814585,48.298482697738677,0.2183682,0.2973652,5.8483009,0.0042975,4.9006653,1312.6562500,8.0005150
68,68,-108.749486848456684,48.298482697738677,0.2357292,0.2973652,7.7581396,0.0045828,3.9584267,847.7070312,7.9907742
